1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.001274203,0.002140505,0.001329241,0.001234286,0.001537312,0.001624322,0.001340269,0.001155465,0.001404118,0.001204431,0.001394269,0.001822284,0.001374812,0.001660128,0.001679104,0.002228825
0.001262668,0.002133091,0.00129629,0.001182215,0.00154067,0.001621438,0.001330273,0.001151063,0.001390977,0.00120492,0.001385137,0.001769866,0.001375012,0.001637222,0.001681939,0.002215709
0.001251281,0.002125663,0.001267875,0.001163084,0.001544429,0.001617334,0.001319768,0.001144334,0.001375982,0.001202841,0.001371583,0.001726441,0.001372765,0.001612342,0.001679996,0.00219855
0.001242461,0.002113237,0.001250155,0.001167828,0.001542233,0.001605941,0.00130769,0.001125594,0.001357448,0.001181274,0.001355908,0.001685605,0.00135919,0.001583554,0.001656994,0.002174221
0.001230861,0.002097695,0.00121609,0.001174796,0.001530604,0.001587932,0.001291686,0.001102856,0.001337334,0.001153279,0.001345227,0.001651533,0.00135198,0.001551524,0.001632828,0.002150035
0.001219613,0.002090663,0.001196896,0.001169149,0.00153188,0.001582005,0.001279474,0.001093656,0.001318822,0.001149532,0.001329902,0.001621164,0.001354131,0.001524825,0.00162401,0.002119811
0.001207037,0.002083601,0.001179587,0.001164761,0.001532471,0.001576182,0.001266995,0.001083708,0.001299374,0.001144952,0.001312888,0.001591981,0.00135469,0.001497202,0.001613655,0.00208683
0.001194008,0.002075786,0.001163566,0.001160286,0.001532516,0.001569574,0.001253869,0.001072813,0.001279071,0.001139493,0.001290869,0.001562901,0.001353639,0.001468899,0.001601432,0.002052123
0.001181354,0.00206846,0.001149506,0.001156537,0.001532673,0.001562926,0.001240388,0.001061724,0.001258439,0.001134194,0.00126855,0.001534981,0.001352183,0.001440998,0.001588882,0.002016975
0.00116921,0.002061085,0.001140042,0.001156427,0.001533333,0.00155596,0.00122718,0.00105013,0.001237615,0.001128586,0.001245255,0.001506928,0.001350451,0.001413652,0.001575589,0.00198444
